#lambda/nm	DC	C1
636.468	11904.6	11856.4
636.883	11043.2	10994.8
637.299	10368	10322.8
637.715	9785	9726.8
638.109	9344.8	9347.2
638.525	9055.8	9033
638.941	8848	8828.4
639.357	8658	8712
639.773	8563	8582.8
640.189	8449.2	8463
640.584	8458	8423.6
641	8456.4	8442.8
641.416	8467	8445.2
641.832	8508	8502.2
642.249	8542	8544.4
642.665	8575.8	8579.2
643.06	8626.8	8626.8
643.477	8682.8	8646
643.894	8710	8671.2
644.31	8683.8	8659
644.727	8737.8	8719.6
645.123	8761.4	8761.6
645.54	8818.4	8790
645.957	9029.2	8998.8
646.374	9541	9500
646.77	10180	10154.2
647.187	10902	10801.6
647.604	11483.6	11445.6
648.021	12166.6	12151.2
648.439	12772.6	12733.8
648.835	13417	13421.6
649.252	14000.4	13948
649.67	14291.2	14210
650.088	14297.4	14215.2
650.484	14025.2	13942
650.902	13523	13561.2
651.32	13093	12984.2
651.738	12514.2	12438
652.134	12002.4	11908.2
652.552	11391.4	11316.4
652.971	10782	10716.8
653.389	10226.6	10161.6
653.786	9706.4	9718.2
654.204	9363.2	9334.4
654.622	8914.4	8906.6
655.019	8531.8	8462.2
655.438	8211.4	8191.6
655.857	7952	7940.4
656.275	7709.8	7684.2
656.673	7462.4	7448
657.091	7387.6	7333
657.51	7245.6	7249.8
657.908	7368.8	7305.6
658.327	7566.8	7560.6
658.746	7860.4	7815
659.144	8180.6	8120.6
659.563	8544.8	8528.4
659.982	8892.4	8848.2
660.38	9189	9180.8
660.8	9492.4	9431.8
661.219	9578.8	9528.6
661.617	9485.2	9456.2
662.037	9286	9223
662.457	9045.6	8961.8
662.855	8777.2	8730.6
663.275	8558	8480
